13.54	14.36
13.08	15.71
9.504	12.44
13.03	18.42
8.196	16.84
12.05	14.63
13.49	22.3
11.76	21.6
13.64	16.34
11.94	18.24
11.52	18.75
13.05	19.31
8.618	11.79
10.17	14.88
8.598	20.98
9.173	13.86
9.465	21.01
11.31	19.04
9.029	17.33
12.78	16.49
8.888	14.64
12.31	16.52
13.53	10.94
12.86	18
11.45	20.97
13.34	15.86
12	15.65
12.36	21.8
14.64	15.24
14.62	24.02
13.27	14.76
13.45	18.3
12.18	17.84
9.787	19.94
11.6	12.84
6.981	13.43
12.18	20.52
9.876	19.4
10.49	19.29
11.64	18.33
12.36	18.54
11.34	21.26
9.777	16.99
12.63	20.76
14.26	19.65
10.51	20.19
8.726	15.83
11.93	21.53
8.95	15.76
11.41	10.82
14.5	10.89
13.37	16.39
13.85	17.21
15.1	16.39
12.19	13.29
15.71	13.93
11.71	16.67
11.43	15.39
11.28	13.39
9.738	11.97
11.43	17.31
12.9	15.92
10.75	14.97
11.9	14.65
14.95	18.77
14.44	15.18
13.74	17.91
13	20.78
8.219	20.7
9.731	15.34
11.15	13.08
13.15	15.34
12.25	17.94
16.84	19.46
12.06	12.74
10.9	12.96
11.75	20.18
12.34	22.22
14.97	19.76
10.8	9.71
14.97	16.95
12.32	12.39
11.08	14.71
10.66	15.15
8.671	14.45
9.904	18.06
13.01	22.22
12.81	13.06
11.41	14.92
10.08	15.11
11.71	17.19
11.81	17.39
12.3	15.9
12.77	21.41
9.72	18.22
12.91	16.33
12.23	19.56
12.47	18.6
9.876	17.27
13.11	22.54
15.27	12.91
11.84	18.94
11.89	18.35
10.2	17.48
13.65	13.16
13.56	13.9
10.18	17.53
13.27	17.02
14.34	13.47
10.44	15.46
15	15.51
12.62	23.97
11.32	27.08
11.22	33.81
9.567	15.91
14.03	21.25
14.22	27.85
13.64	15.6
12.42	15.04
11.3	18.19
13.75	23.77
10.48	19.86
13.2	17.43
12.89	14.11
10.65	25.22
11.52	14.93
11.5	18.45
10.6	18.95
13.59	21.84
12.87	16.21
10.71	20.39
14.29	16.82
11.29	13.04
9.742	15.67
11.89	17.36
11.33	14.16
13.59	17.84
13.85	15.18
11.74	14.02
12.89	15.7
12.58	18.4
11.94	20.76
12.89	13.12
11.26	19.96
11.37	18.89
14.41	19.73
14.96	19.1
12.95	16.02
11.85	17.46
12.72	13.78
13.77	13.27
10.91	12.35
14.26	18.17
10.51	23.09
12.46	19.89
10.49	18.61
11.46	18.16
11.6	24.49
13.2	15.82
9	14.4
13.5	12.71
13.05	13.84
11.7	19.11
14.61	15.69
12.76	13.37
11.54	10.72
8.597	18.6
12.49	16.85
12.18	14.08
9.042	18.9
12.43	17
10.25	16.18
12.86	13.32
12.2	15.21
12.67	17.3
14.11	12.88
12.03	17.93
12.98	19.35
11.22	19.86
11.25	14.78
12.3	19.02
12.99	14.23
10.05	17.53
14.42	16.54
9.606	16.84
11.06	14.96
11.71	15.45
10.26	14.71
12.06	18.9
14.76	14.74
11.47	16.03
11.95	14.96
11.66	17.07
11.14	14.07
12.56	19.07
13.05	18.59
13.87	16.21
8.878	15.49
9.436	18.32
12.54	18.07
13.3	21.57
12.76	18.84
16.5	18.29
13.4	16.95
12.21	18.02
15.19	13.21
13.69	16.07
16.17	16.07
10.57	20.22
13.46	28.21
13.66	15.15
11.27	12.96
11.04	14.93
12.05	22.72
12.39	17.48
13.28	13.72
12.21	14.09
13.88	16.16
11.27	15.5
10.26	12.22
8.734	16.84
12.1	17.72
14.06	17.18
13.51	18.89
12.8	17.46
11.06	14.83
11.8	17.26
11.93	10.91
12.96	18.29
12.94	16.17
12.34	14.95
10.94	18.59
16.14	14.86
12.85	21.37
12.27	17.92
11.36	17.57
11.04	16.83
9.397	21.68
14.99	22.11
11.89	21.17
9.405	21.7
12.7	12.17
11.16	21.41
11.57	19.04
14.69	13.98
11.61	16.02
13.66	19.13
9.742	19.12
10.03	21.28
10.48	14.98
10.8	21.98
11.13	16.62
12.72	17.67
12.4	17.68
14.86	16.94
12.87	19.54
14.04	15.98
13.85	19.6
14.02	15.66
10.97	17.2
13.78	15.79
10.57	18.32
11.99	24.89
14.8	17.66
14.53	19.34
11.87	21.54
12	28.23
14.53	13.98
12.62	17.15
13.38	30.72
11.63	29.29
13.21	25.25
13	25.13
9.755	28.2
14.4	26.99
11.6	18.36
13.17	18.22
13.24	20.13
13.14	20.74
9.668	18.1
11.62	18.18
9.667	18.49
12.04	28.14
14.92	14.93
12.27	29.97
10.88	15.62
12.83	15.73
